""	"C-045"	"C-053"	"C-075"	"C-081"	"C-085"	"C-086"	"C-092"	"C-094"	"C-095"	"C-096"	"C-097"	"C-098"	"C-111"	"C-113"	"C-115"	"C-123"	"C-128"	"C-129"	"C-151"	"C-167"	"C-175"	"C-194"	"C-197"	"C-214"	"C-218"	"C-003"	"C-004"	"C-005"	"C-006"	"C-007"	"C-018"	"C-024"	"C-026"	"C-031"	"C-058"	"C-059"	"C-062"	"C-071"	"C-074"	"C-104"	"C-116"	"C-117"	"C-120"	"C-132"	"C-133"	"C-134"	"C-164"	"C-187"	"C-189"	"C-200"
"[0.50 .. 0.52]"	0.60936	0.055004	0.51936	0	0	0.014783	0.34168	0.12287	0.20509	0.19817	0	0.0090348	0	0	0	0.0041492	0.02742	0.027136	0.057555	0.0046523	0.10306	0	0.38246	0.0097387	0.019711	0.080052	0.012023	0	0	0.0064422	0.0021672	0.15009	0	0	0.28763	0.11461	0.011889	0.62776	0	0.010433	0.16907	0	0.1326	0.011282	0.0077952	0	0	0	0.0034477	0
"[0.52 .. 0.56]"	1.0671	0.11127	0.81095	0.0083532	0.0016961	0	0.56782	0.17563	0.47542	0.32306	0.0029106	0	0	0.00010948	0.024073	0.010599	0.062634	0	0.1086	0.0080073	0.18685	0	0.68587	0	0.07977	0.22207	0	0	0	0.02119	0.015278	0.26176	0.023677	0.015234	0.50103	0.2361	0	1.0598	0	0	0.37343	0.011365	0.19982	0	0	0.046177	0	0.0027964	0	0.003507
"[0.56 .. 0.58]"	0.77945	0.10555	0.62601	0	0.017466	0.0066115	0.4214	0.17047	0.32893	0.27052	0	0.0089755	0.026515	0.0093946	0.002115	0.023921	0.06132	0.0015311	0.073094	0.053077	0.18633	0.0018812	0.46052	0	0.10577	0.22621	0	0	0.0042618	0.014599	0	0.17183	0	0.0023925	0.42586	0.27616	0	0.75504	0	0.011505	0.26643	0	0.224	0.0093667	0.0072488	0.10206	0.0091241	0	0.009086	0.007554
"[0.58 .. 0.61]"	0.80009	0.08981	0.75669	0.014421	0	0	0.44239	0.14378	0.37341	0.24158	0	0.0018086	0	0	0.041414	0	0.060436	0.00045799	0.10236	0.10925	0.18766	0	0.53606	0	0.15836	0.15496	0	0	0	0	0	0.21415	0.00067104	0	0.42771	0.32671	0.012311	0.73128	0	0	0.30277	0.015021	0.17598	0	0	0.10342	0.014403	0.02226	0	0
"[0.61 .. 0.64]"	1.2371	0.21125	1.0631	0	0.011232	0.0031227	0.70709	0.26578	0.68579	0.34602	0.02792	0.011833	0.011959	0	0.11311	0.0053788	0.13319	0	0.2245	0.21639	0.30047	0.015805	0.83015	0.0052289	0.27084	0.30256	0.0045318	0	0.0045768	0.027782	0.014757	0.40969	0	0.038538	0.6936	0.50546	0	1.1415	0.0033838	0	0.46033	0	0.37702	0.012944	0	0.20368	0	0	0	0.00043939
"[0.64 .. 0.66]"	0.94879	0.16525	0.80503	0	0	0	0.57275	0.24528	0.48933	0.29808	0	0	0	0	0.078131	0.0048697	0.16288	0.0083698	0.13928	0.30446	0.25944	0	0.61875	0.00099077	0.24991	0.27105	0	0.020473	0	0.0018476	0	0.36209	0.00063182	0	0.52245	0.38858	0.017627	0.86022	0	0.018757	0.42571	0.00014683	0.31165	0	0	0.14742	0	0	0.025185	0.008351
"[0.66 .. 0.69]"	1.0479	0.22933	0.8787	0.010017	0	0.0015408	0.61675	0.24934	0.52969	0.34267	0.068648	0	0	0.016388	0.093131	0.002658	0.19457	0	0.21742	0.39961	0.3181	0.001914	0.67984	0	0.30596	0.29503	0.035991	0.0434	0.021316	0.024915	0.010406	0.38944	0.0096689	0.019049	0.62141	0.45177	0	0.97619	0.012386	0	0.49229	0	0.34188	0.0050557	0	0.22452	0	0.028363	0.054317	0
"[0.69 .. 0.71]"	1.2145	0.20055	1.0617	0	0	0.00082736	0.7333	0.29021	0.63586	0.38745	0.14984	0.0015705	0	0	0.11387	0.021846	0.2613	0.0055466	0.23528	0.49705	0.3322	0	0.7818	0.14267	0.41905	0.3037	0.024114	0.077524	0	0	0	0.45007	0	0.027142	0.76969	0.62508	0	1.1049	0	0.00731	0.60187	0.0042269	0.43778	0	0.037316	0.28293	0.012109	0	0.13065	0.018068
"[0.71 .. 0.73]"	1.1953	0.20426	0.99816	0	0.0067581	0	0.69617	0.24708	0.64979	0.37855	0.24067	0.010383	0.08907	0.0037262	0.083911	0	0.14201	0	0.22743	0.50301	0.33046	0.0034788	0.74637	0	0.45862	0.31267	0.18421	0.073903	0	0	0	0.46926	0.0065707	0	0.68123	0.6285	0	1.0496	0	0	0.58681	0	0.45089	0	0	0.22233	0	0.0059858	0.15348	0
"[0.73 .. 0.75]"	1.3751	0.34402	1.2327	0	0	0	0.85355	0.39344	0.79078	0.50174	0.43764	0	0.28692	0	0.17296	0	0.23969	0	0.30137	0.70579	0.45396	0.023825	0.89477	0	0.60864	0.38108	0.39357	0.066929	0	0	0	0.59288	0	0	0.83458	0.83561	0	1.2715	0	0	0.65528	0.0039013	0.53001	0	0	0.32808	0	0	0.3164	0.0024911
